"","Pvalues"
"ABCB4",0.0190638210063199
"ABHD14A",0.0288979283495866
"ACADSB",0.0436714104323329
"ACOT13",0.000995785227354289
"ADAMTS18",0.0453363336329828
"ADAR",0.0475213729485295
"ADCY1",0.0118069957546969
"ADH5",0.0414274055613108
"ADIPOR1",0.0389955465002157
"ADSL",0.0145933486039301
"ADSSL1",0.0327606336438335
"AGAP7",0.002640051823229
"AGGF1",0.0465910545830801
"AGXT2L1",0.0316911771523494
"AHSG",0.0023323925410704
"AIF1L",0.00717983882624944
"AKR1C4",0.0455117803182475
"AKR7A2",0.00502643476309364
"ALDH1A2",0.0318142162483721
"ALG11",0.0161455410886595
"ALG12",0.00732226568969999
"ALG1L",0.0405847194794261
"ALG8",0.0357832845382951
"ALOX12B",0.0387711252806166
"AMBN",0.0481104143964994
"AMH",0.0156066735361171
"ANKH",0.0372477897514497
"ANKLE2",0.0285720712123955
"ANKMY1",0.000925873285095674
"ANKRD34B",0.0170028923915626
"ANKRD36",0.0379732192765102
"ANKRD57",0.0123340337235606
"ANKS6",0.0433326510363247
"ANO4",0.0478735477541361
"ANXA11",0.0028656950255049
"AOX2P",0.00696583892865347
"APOH",0.0172314887535306
"ARHGAP28",0.0477693241200533
"ARHGEF19",0.040752836195164
"ARHGEF33",0.0110124388202326
"ARL15",0.0207818366509599
"ARL2",0.0170006398631114
"ARL8A",0.0396184533239619
"ASAP3",0.0102293012961068
"ASB15",0.0324855099126903
"ASCL1",0.0264641340594376
"ASZ1",0.0233882603794642
"ATF3",0.00510956269079931
"ATG16L1",0.000659053439780749
"ATP12A",0.0233951685593028
"ATXN2",0.027779430851896
"AVPI1",0.00067173613808284
"B3GALNT1",0.0494582053479617
"B3GALT2",0.00924641412909679
"B3GNT1",0.00812841689465446
"B4GALNT4",0.0117291693503027
"BACE1",0.0183890796846954
"BAG3",0.0484278113820138
"BAIAP2L1",0.0226999007832292
"BANF1",0.0235010955356223
"BATF2",0.00277950485895011
"BBS5",0.0193550024969348
"BCAM",0.0331234186902211
"BCDIN3D",0.00420321471564824
"BCL2L11",0.0354126648224903
"BCL2L13",0.00757852038136891
"BCL3",0.0112986734552022
"BEAN",0.0438439166490486
"BEND5",0.0227959426999449
"BHMT",0.000696903835316991
"BLMH",0.00361554938538247
"BMP8B",0.0387210615104224
"BMPR1B",0.030977519932436
"BNIP3",0.00640965062679949
"BOK",0.023870699297001
"BOLL",0.00221890797429423
"BRD2",0.0108630318075907
"BTD",0.0264537299805348
"BTG2",0.0447880862398978
"BTN2A1",0.0199452065185136
"BTN3A1",0.0434811274487233
"C10orf122",0.0254915160985189
"C10orf35",0.0475919801810132
"C10orf40",0.0256198224874559
"C10orf47",0.0283964989801583
"C10orf55",0.0351991253610102
"C10orf93",0.00451542842747324
"C11orf24",0.00635649107045954
"C11orf49",0.0180062379379461
"C11orf54",0.00610934291764209
"C11orf66",0.0231083957788752
"C11orf73",0.037000548399516
"C12orf52",0.0119297305668517
"C12orf71",0.045848283956572
"C13orf31",0.0459573072607583
"C14orf105",0.00434343712382382
"C14orf153",0.0135430152982063
"C15orf41",0.0256048900227463
"C15orf43",0.0150431383686678
"C15orf53",0.0179260143818452
"C16orf53",0.0438520681543005
"C16orf58",0.02944082109649
"C16orf5",0.0248660992012411
"C16orf71",0.00218389000526617
"C16orf93",0.0497039914728023
"C17orf61",0.0116063605951752
"C17orf74",0.0440880442284991
"C17orf78",0.0356116043049786
"C17orf98",0.0108328418398412
"C18orf16",0.0325274795439415
"C19orf44",0.0127099635475067
"C19orf66",0.0397394891471601
"C1orf104",0.0364751361922284
"C1orf122",0.0147275971937998
"C1orf173",0.0345825761777109
"C1orf182",0.012079693149429
"C1orf204",0.047759921392876
"C1orf59",0.0175572728351718
"C1orf88",0.0207936472916227
"C1orf89",0.00284420575687533
"C20orf103",0.0408289008989104
"C20orf106",0.0289609120401788
"C20orf173",0.0083098102105334
"C20orf20",0.0421009071373167
"C21orf121",0.045732352834423
"C21orf49",0.0495885846548192
"C21orf57",0.0296464785384691
"C21orf81",0.0120689026759211
"C22orf24",0.0230819635906602
"C22orf28",0.00423110160347726
"C22orf31",0.0366780445992811
"C22orf32",0.0132389077804775
"C22orf39",0.0164424665595271
"C22orf40",0.0241936405361865
"C2orf28",0.0484429638665632
"C2orf79",0.0459746094636144
"C2orf83",0.0294132213584383
"C3orf14",0.00324292389023773
"C3orf15",0.027336398340713
"C3orf59",0.0170418923550696
"C3orf67",0.0188866212502185
"C3orf75",0.0331129971228187
"C4orf11",0.00588864453988559
"C4orf31",0.00955764906451983
"C4orf35",0.013721737721209
"C4orf39",0.0392595680292427
"C4orf3",0.0387185120117777
"C4orf42",0.045428694031641
"C4orf48",0.0328823246801261
"C4orf52",0.0184852395983571
"C5orf13",0.015810822831357
"C5orf48",0.0313368856419703
"C5orf49",0.000235664741202597
"C5orf56",0.00178846840243219
"C6orf138",0.0369173760584779
"C6orf227",0.0101322560450643
"C7orf33",0.0107611539783084
"C7orf46",0.0245763196767066
"C7orf57",0.0125123908060663
"C8orf30A",0.0475802148430668
"C8orf37",0.0331382600660184
"C8orf42",0.0365690161015471
"C8orf47",0.015379752900492
"C8orf76",0.0273755368016535
"C9orf11",0.0436956106057514
"C9orf131",0.00673381122660734
"C9orf43",0.0474417833288632
"C9orf93",0.0337062081104103
"CABIN1",0.0345271467792687
"CABP7",0.0156913645168502
"CACNA1B",0.00453742028295124
"CACNA1I",0.0134128157645534
"CACNA2D2",0.0326330578139255
"CADPS",0.0401605086882552
"CALML3",0.0253011200069406
"CASP10",0.0256822370659576
"CASP6",0.0369353322162872
"CBLN4",0.0290597505723317
"CBS",0.00585298116809698
"CBX4",0.0107066934475165
"CBY1",0.00254006465656361
"CCBP2",0.037985155878198
"CCDC102A",0.00320700773584852
"CCDC103",0.00359776551317376
"CCDC122",0.0292163977320518
"CCDC127",0.0128158673545157
"CCDC135",0.0381426527494912
"CCDC157",0.0313048292284162
"CCDC62",0.0174828190379622
"CCDC67",0.000572116789871022
"CCDC89",0.0284791273198359
"CCDC90B",0.00029335909374069
"CCDC9",0.0358463120451235
"CCL4L2",0.0490022680153912
"CCL4",0.0180138379049967
"CCNL1",0.0377865911177312
"CD151",0.0170168395075501
"CD274",0.0251334675247958
"CD9",0.0417116162975299
"CDC25B",0.0235539556679074
"CDCP1",0.0380726098616437
"CDH7",0.00130759672468572
"CDH9",0.0252510361201353
"CDKN1C",0.0253568063376738
"CDNF",0.00756539476465841
"CELSR3",0.00239421704561129
"CENPJ",0.0351379913159249
"CES1",0.0480817200746736
"CETP",0.00454516833435217
"CFHR3",0.0184456639988592
"CFHR4",0.0469239389607605
"CFI",0.0385936200274151
"CGA",0.0194739092425514
"CHCHD8",0.0364025864245478
"CHD1L",0.0287590685400936
"CHFR",0.00445822730353328
"CHL1",0.0413459685055732
"CHODL",0.0154056855847063
"CHRM4",0.0467945887301796
"CHST4",0.0438904320683237
"CHSY3",0.0295295586963247
"CIB3",0.0148425182041134
"CILP2",0.016159940068474
"CKB",0.0426592393706756
"CKM",0.025901848765133
"CLCF1",0.0375083760275821
"CLCNKA",0.0302032863883064
"CLDN19",0.0346431231630176
"CLDN20",0.00538031971501115
"CLEC3A",0.030857505867342
"CLIC3",0.0248018232999904
"CLIC5",0.0319211369916511
"CLK2P",0.00614781054517317
"CMPK2",0.0429607312744562
"CNGB3",0.0101872474928543
"CNNM1",0.0072974087105074
"CNO",0.0492570447325507
"CNTD2",0.0059141748913094
"COCH",0.00972372098290847
"COG3",0.014005607323192
"COMT",0.0123864929658261
"COX18",0.0124307050160482
"CPA5",0.0114485506638378
"CPA6",0.031858454098859
"CPAMD8",0.00807043575278998
"CPE",0.0261118402909282
"CPS1",0.006534873912239
"CRADD",0.0359040371688993
"CREB3L4",0.0311885002096843
"CRELD1",0.0105111313862473
"CRIP2",0.045605245316952
"CRNN",0.00486095197208131
"CRTC2",0.0464768005386088
"CRYZ",0.0044755254400751
"CSAG3",0.046631034957778
"CSF2",0.00790503712968758
"CSMD3",0.0322873782690713
"CSN2",0.0428045417651746
"CSRNP1",0.0335454777796622
"CTBP2",0.016693785987664
"CTNNBIP1",0.0393390761116874
"CTRB1",0.0268234023440505
"CTRB2",0.0294389180965804
"CTRC",0.0429270526271673
"CTRL",0.0319007888652928
"CWH43",0.0197957264746497
"CXCL10",0.0433279665908744
"CXCL11",0.0273437282960409
"CXCL14",0.0319568111833222
"CXCL9",0.0408164769006346
"CYB5D2",0.00381170287426025
"CYBASC3",0.0187416598821395
"CYP26C1",0.0355978327755785
"CYP2U1",0.0364857863017421
"CYP8B1",0.0178108515606858
"DACH2",0.00469839045854546
"DAO",0.0151495574239919
"DDX17",0.0332775960600054
"DEDD",0.0400934019496925
"DENND4B",0.0448478570703404
"DGAT2L6",0.0220423789941202
"DGKE",0.0282514091563584
"DGKG",0.00959019817443273
"DHRS13",0.0416319200542787
"DHX16",0.0197016843113016
"DKK1",0.000690245932001636
"DLEU2",0.0440294382308648
"DLGAP1",0.0283114642934855
"DLX5",0.016203944412685
"DMRTC2",0.0118950942527341
"DNAJB3",0.00953450090215709
"DNAL4",0.033015234460602
"DNALI1",0.0430870869964775
"DNM3",0.00268595267023749
"DOK7",0.0100260072692143
"DOLK",0.0321435261533065
"DOLPP1",0.0249877446556675
"DPY19L2P2",0.0416771727239932
"DRD1",0.00347471025697627
"DSC3",0.00135584123091032
"DSG4",0.0351960791607111
"DUSP1",0.0314110168619956
"DUSP27",0.0286972003946733
"DUSP2",0.0151370998760778
"DUSP5",0.0020626973631962
"DYNC1I1",0.014615994449983
"DYNC1LI1",0.0173670789848574
"DYNLRB2",0.0236830090672245
"DYX1C1",0.0470322407332762
"DZIP3",0.0185066640920197
"EBAG9",0.0267684834847927
"ECHDC3",0.0459299307668617
"EDAR",0.00445575631283489
"EDA",0.0200395254584461
"EDNRA",0.0183353610680428
"EEF1DP3",0.0154469940676003
"EGR1",0.0155053835509299
"EIF3L",0.0349593840873994
"ELF3",0.00259894286578821
"ELK4",0.0294499038198802
"ELMOD2",0.0219754203622613
"ELOVL2",0.0109810215359181
"ELOVL3",0.0333901120522856
"EMX1",0.047552890795395
"ENPP7",0.0186180849042572
"ENTPD6",0.0416726901448956
"ENY2",0.00536739099044836
"EPHX3",0.0120283491498777
"ETV7",0.0334461570228463
"EXT1",0.00910673204611199
"EXTL1",0.0122647768108815
"FABP9",0.0459144599012644
"FADD",0.0354111810233693
"FADS1",0.0464038349684968
"FADS2",0.0314270612304915
"FAHD1",0.0254978833843939
"FAM109B",0.0313708708451182
"FAM10A4",0.0133571221621969
"FAM123A",0.0427560468836839
"FAM123C",0.0212461367891109
"FAM124B",0.0318548533127771
"FAM132A",0.0143672546095001
"FAM138F",0.0198945875566101
"FAM173B",0.0375880296637315
"FAM179A",0.0462245580958155
"FAM18A",0.0171241847176524
"FAM200A",0.012409926951334
"FAM21B",0.0224751191050915
"FAM40B",0.0154388434568933
"FAM5B",0.0151626892187548
"FAM69B",0.0355743776396472
"FAM71D",0.0210676655846756
"FAM82B",0.0116324074104133
"FAM92A1",0.0411244323895067
"FBLL1",0.0371296373418596
"FBXL20",0.00945402165843376
"FBXL2",0.00845578350463585
"FBXO27",0.0468513727116193
"FBXO41",0.0129066373616956
"FBXO7",0.0434818093755851
"FCN2",0.0377150476326587
"FEZF1",0.0107438770734198
"FGF12",0.00778016652407979
"FGF1",0.035116190626901
"FGL1",0.0153328086202464
"FIBCD1",0.0234890896908019
"FIBP",0.045846522442515
"FKBP1B",0.0160631059305206
"FLJ16779",0.0395099685365803
"FLJ22536",0.03321881806611
"FLJ40504",0.0157820912665856
"FLJ42393",0.00457608899733594
"FLJ43390",0.0151520402671986
"FLOT2",0.0416144926064749
"FMO6P",0.0266191443015226
"FOLR1",0.00152428690934921
"FOS",0.00927856475037357
"FOXD1",0.0231395106867482
"FOXD4L1",0.00590958008922051
"FOXE1",0.0319963884193656
"FOXJ2",0.038757455365423
"FRAS1",0.00121830017122091
"FSTL5",0.0260296348048916
"FUCA2",0.0301696814987011
"FUT9",0.0402873247443021
"FUZ",0.0423597430805556
"FXYD1",0.0492030838828488
"FXYD3",0.0490426493419233
"FZD3",0.0435087884375518
"FZD5",0.00280610403168225
"FZD9",1.00073864409562e-05
"GABRA2",0.0473866843134735
"GABRA3",0.0234261366163982
"GABRB2",0.00696822875638951
"GABRD",0.017999503901776
"GABRQ",0.023111181979873
"GAL3ST1",0.0329889517807625
"GALNT13",0.013949859543882
"GALNT6",0.0116750620669703
"GALNT9",0.0458505010577753
"GALNTL1",0.0434897739754616
"GAL",0.00033632201097631
"GAMT",0.000468213427466913
"GAS6",0.0131418534766501
"GATA4",0.000355111278291191
"GATSL2",0.000734788747947596
"GBP1",0.0165971265346346
"GBP2",0.0370139211768992
"GDE1",0.0117579612854547
"GDF11",0.00265741191662516
"GFRA3",0.0437792619258986
"GGCX",0.00420020229054734
"GHDC",0.00168097649678953
"GIF",0.008047651263936
"GJA10",0.0194044070443984
"GJB2",0.0311312355000487
"GLDC",0.00247370381220747
"GLIPR1L2",0.0166021100614068
"GLRA1",0.0462720401429188
"GLT25D1",0.0464762269585121
"GLT8D1",0.00149638048383121
"GNASAS",0.007625806265898
"GNLY",0.0323841934597166
"GNRHR",0.0265930861709841
"GPAA1",0.00937769662968541
"GPAT2",0.0456234917480603
"GPCPD1",0.0158688964754857
"GPD2",0.00488896223390305
"GPIHBP1",0.0309936328698294
"GPLD1",0.0425246961680054
"GPN2",0.0484578337757767
"GPR119",0.0452848624346026
"GPR137C",0.0379620448268867
"GPR64",0.00510932288338535
"GPR98",0.0492036861175592
"GRB14",0.0208211370956931
"GREB1L",0.00178062574947194
"GRIK2",0.0326366529309188
"GRK1",0.0254086092057671
"GRM3",0.0231029977528677
"GSTP1",0.0132056494807892
"GSTZ1",0.00307843255498137
"GUCY2E",0.0014434253055852
"GZF1",0.0322405507601602
"GZMH",0.0282746766947795
"HAAO",0.00346851240626386
"HAR1A",0.0153270015506323
"HAVCR1",0.00109583905799871
"HBEGF",0.0445991385260747
"HBM",0.0150516404271284
"HCG22",0.0176424439933531
"HCN3",0.0225123354483018
"HCP5",0.0372277481561776
"HELQ",0.0115224480638844
"HEMGN",0.0441358058683589
"HEXIM2",0.0355889733835362
"HINT3",0.0453789957485363
"HLA.E",0.0470792902853569
"HLA.F",0.032431570611061
"HLA.L",0.0148299894555262
"HLTF",0.000935473552161815
"HMGN4",0.0340412071027826
"HORMAD1",0.0102969295047178
"HOXA5",0.0448869566028265
"HOXB2",0.0496988976682009
"HOXB3",0.00830468640357416
"HOXB5",0.00823658820646098
"HOXB6",0.0251504734796358
"HOXB7",0.0219532920993472
"HOXB8",0.00371343027373942
"HOXB9",0.0126435877829756
"HOXC10",0.02994160238109
"HPR",0.0187063148813416
"HSCB",0.00133035164382414
"HSPA1A",0.0192702572337367
"HSPA1B",0.00586056106671325
"HSPB3",0.0207053369078073
"HSPB9",0.0158709653329886
"HSPC157",0.00260042825571113
"HYAL1",0.0150133604297926
"ICAM1",0.0148577873641902
"IER2",0.0296580828510456
"IER3",0.0136647826155636
"IFIT2",0.0335531844706779
"IFIT5",0.0474470042639557
"IFNG",0.00258721957517064
"IFT122",0.0369506122242034
"IFT20",0.0233248498223332
"IGF1",0.0225783707098315
"IGFBP2",0.0231580892026018
"IGFL2",0.044863377329152
"IGSF1",0.00539060839100489
"IL15RA",0.00345346141671621
"IL1RL2",0.0329577027986762
"IL6",0.0241421537665431
"INA",0.048058622367575
"INHBE",0.0396872027754372
"INSL6",0.011059849314546
"INTS6",0.0175707701206809
"INTS8",0.0320025806814574
"IQCF3",0.0107555326327768
"IRF1",0.00459562776958217
"IRF2BP2",0.0485560413141813
"IRS2",0.032202614641704
"ISCU",0.0198641599531966
"ISG20L2",0.0327192653032649
"ISPD",0.0264008824855284
"ISYNA1",0.0326224136649883
"ITFG3",0.00671768283108808
"ITGA9",0.0286945293822873
"ITPRIPL2",0.046460767176263
"IVL",0.0478068233681018
"JUNB",0.0110501015010471
"JUN",0.0363990153952459
"KBTBD10",0.0149905017065599
"KBTBD12",0.0257744689911319
"KCNB2",0.0174637303093515
"KCNG3",0.00335758349904031
"KCNH1",0.0436738999018846
"KCNH3",0.012105211327039
"KCNMB2",0.0325626358329545
"KCNMB3",0.0134898921061178
"KCNRG",0.000172625065691156
"KCNS3",0.000189306870994985
"KCTD5",0.045624952853116
"KIAA0040",0.0166786702880296
"KIAA0495",0.0480795546181071
"KIAA0907",0.0494044293186384
"KIAA1257",0.0274395217971184
"KIAA1826",0.0381774167473286
"KIF5C",0.0467590790174682
"KIN",0.0434339944485148
"KLF5",0.0474984409617645
"KLHDC8A",0.0290538778054961
"KLHDC9",0.0114945893504819
"KLHL14",0.0452772570498597
"KLHL34",0.016394404252566
"KLHL35",0.00968717050463151
"KLK12",0.0369751101755095
"KLRG2",0.00412186147988369
"KRBA1",0.0153979706540857
"KREMEN1",0.023587855797845
"KRT222",0.0100659832781579
"KRT25",0.0218613822712018
"KRTAP2.2",0.0368601348368027
"KRTAP3.3",0.00600929348750209
"LASS4",0.00488845660556943
"LCE1D",0.0382332975289156
"LDHD",0.0481233078011423
"LECT1",0.040024501487568
"LEFTY2",0.00220716722869102
"LGALS14",0.0144460791682143
"LGALS2",0.0198056791926875
"LGALS7",0.0384740224087197
"LGR6",0.0225804635635935
"LIAS",0.026731900722356
"LIF",0.00310916281074386
"LILRP2",0.0373720507764835
"LIMCH1",0.0325935356987426
"LIX1",0.0376402329633015
"LOC100009676",9.19970222044128e-05
"LOC100130238",0.0484669145409842
"LOC100134713",0.0208056101815913
