Fecha,T_Media_General,T_Media_Cerro_Prieto,T_Media_El_Cuchillo,T_Media_La_Boca,T.Max_General,T_Max_Cerro_Prieto,T_Max_El_Cuchillo,T_Max_La_Boca,T.Min_General,T_Min_Cerro_Prieto,T_Min_El_Cuchillo,T_Min_La_Boca,V_Media_Viento,Rachas_Max,Presion_Media,Precip_General,Precip_Cerro_Prieto,Precip_El_Cuchillo,Precip_La_Boca,Evap_Cerro_Prieto,Evap_El_Cuchillo,Ciclon_Is,Ciclon_VS,Ciclon_R,Niveles_P,Niveles_NP,Consumo_Clientes_industriales_AMM,Consumo_Clientes_industriales_MNM,Consumo_clientes_industriales_fact,Poblacion,PIB
01/01/2010,14.00,183871.00,1806452.00,1792742.00,35.00,2433871.00,2453226.00,2532258.00,-3.00,1243548.00,1159677.00,1053226.00,15.00,56.09,1018.20,43494.00,2187097.00,2545161.00,1270645.00,421616.00,3348387.00,FALSE,0.00,0.00,32281625.15,72473.79,522907.24,19624.64,30395304.83,4657444.24,14738245.00
02/01/2010,15.00,1667857.00,1641964.00,1669643.00,30.00,22.75,22.25,2398214.00,3.00,1060714.00,1058929.00,9410714.00,43569.00,59.40,1015.20,36.50,1551531.00,914286.00,1067857.00,4125.00,3646429.00,FALSE,0.00,0.00,32283847.67,72513.67,521586.12,19601.72,30395304.83,4661299.79,14738245.00
03/01/2010,21.00,2045161.00,2004032.00,1916935.00,35.00,2753226.00,2737097.00,43613.00,5.00,1337097.00,1270968.00,983871.00,17.00,56.09,1012.80,43538.00,3383871.00,974194.00,4645161.00,5819355.00,43470.00,FALSE,0.00,0.00,32344474.17,72960.88,521587.12,19578.81,30395304.83,4665155.35,14738245.00
04/01/2010,25.00,2258333.00,22675.00,2221667.00,41.00,2806667.00,43705.00,28.45,14.00,43482.00,16.55,1598333.00,43539.00,56.09,1009.60,162.40,4260953.00,1743675.00,5066667.00,4816667.00,4678643.00,FALSE,0.00,0.00,32358647.42,73370.46,521588.12,19555.90,30395304.83,4669010.90,14890783.00
05/01/2010,28.00,2516129.00,2602419.00,2472581.00,38.00,3079032.00,3166129.00,3083871.00,17.00,1953226.00,203871.00,186129.00,14.00,74.10,1008.10,49.90,1742396.00,2871299.00,3387097.00,5693548.00,4714816.00,FALSE,0.00,0.00,32381665.70,73796.79,521589.12,19532.99,30395304.83,4672866.46,14890783.00
06/01/2010,31.00,2655833.00,2751667.00,26125.00,39.00,3243333.00,3386667.00,32.40,18.00,2068333.00,2116667.00,19.85,43662.00,56.09,1008.60,209.60,8753333.00,6096667.00,1265333.00,7600064.00,643531.00,TRUE,155.00,195.00,32388446.19,74185.62,521590.12,19510.07,30395304.83,4676722.02,14890783.00
07/01/2010,28.00,2527419.00,2665323.00,2543548.00,36.00,3022581.00,3209677.00,313871.00,22.00,2032258.00,2120968.00,1948387.00,43691.00,55.40,1010.80,352.70,3483871.00,2187428.00,3787097.00,5380645.00,5477419.00,TRUE,91.67,118.33,32386277.40,74591.79,521591.12,19487.16,30395304.83,4680577.57,15026413.00
08/01/2010,31.00,2596774.00,2723387.00,2585484.00,40.00,3130645.00,3308065.00,3240323.00,22.00,2062903.00,213871.00,1930645.00,43568.00,56.09,1009.90,45.50,1151613.00,2210009.00,1151613.00,6803226.00,6370968.00,TRUE,142.00,172.50,32380872.42,74697.81,521592.12,19464.25,30395304.83,4684433.13,15026413.00
09/01/2010,28.00,2369167.00,2506667.00,23775.00,37.00,28.75,3051667.00,2903333.00,15.00,1863333.00,1961667.00,1851667.00,43536.00,74.10,1010.30,322.20,5187143.00,1617009.00,2009333.00,4363333.00,4783333.00,TRUE,144.00,178.00,32354943.80,74822.55,521593.12,19441.34,30395304.83,4688288.69,15026413.00
10/01/2010,24.00,2302419.00,2314516.00,2195161.00,36.00,2922581.00,2970968.00,43614.00,12.00,1682258.00,1658065.00,1440323.00,43534.00,59.40,1015.30,43563.00,387558.00,806452.00,2032258.00,5106452.00,4729032.00,TRUE,155.00,195.00,32379927.03,74315.47,521594.12,19418.43,30395304.83,4692144.24,15151348.00
11/01/2010,20.00,2109167.00,2080833.00,1949167.00,35.00,2758333.00,2753333.00,2778333.00,4.00,43630.00,1408333.00,43507.00,43477.00,55.40,1015.50,0.00,317619.00,396667.00,163333.00,4856667.00,4.52,FALSE,0.00,0.00,32395784.65,73324.93,521595.12,19395.51,30395304.83,4695999.80,15151348.00
12/01/2010,17.00,1880645.00,1854839.00,1753226.00,34.00,2535484.00,2524194.00,2580645.00,2.00,1225806.00,1185484.00,9258065.00,43567.00,55.40,1017.10,15079.94,4383871.00,3709677.00,1803226.00,4506483.00,3669655.00,FALSE,0.00,0.00,32432305.33,73005.54,521596.12,19372.60,30395304.83,4699855.35,15151348.00
01/01/2011,15.00,1751613.00,1804839.00,1770161.00,31.00,2340323.00,2429032.00,2548387.00,2.00,1162903.00,1180645.00,9919355.00,43658.00,55.40,1016.80,43700.00,893548.00,1441935.00,3345161.00,416129.00,4625093.00,FALSE,0.00,0.00,32462947.59,71967.21,521597.12,19349.69,30395304.83,4703710.91,15274555.00
02/01/2011,17.00,2215179.00,2226786.00,2179821.00,37.00,2851786.00,2923214.00,3038214.00,-5.00,1578571.00,1530357.00,1321429.00,43661.00,74.10,1016.00,0.00,285714.00,532143.00,782143.00,5721429.00,5378571.00,FALSE,0.00,0.00,32471381.69,71597.84,521598.12,19326.78,30395304.83,4707566.47,15274555.00
03/01/2011,24.00,2375806.00,2420968.00,2358871.00,39.00,2996774.00,3033871.00,3117742.00,7.00,1754839.00,1808065.00,16.00,43598.00,63.00,1012.30,43477.00,2096774.00,0.00,351613.00,6570999.00,6248387.00,FALSE,0.00,0.00,32535823.61,71424.63,521599.12,19303.86,30395304.83,4711422.02,15274555.00
04/01/2011,29.00,26175.00,26325.00,2585833.00,43.00,3341667.00,33.30,3511667.00,15.00,1893333.00,19.35,43632.00,14.00,74.10,1007.40,43528.00,326667.00,0.12,253333.00,8113365.00,8233333.00,FALSE,0.00,0.00,32552113.28,71844.57,521600.12,19280.95,30395304.83,4715277.58,15341829.00
05/01/2011,30.00,2621397.00,2720968.00,2685572.00,43.00,326402.00,33.50,3419601.00,15.00,1978774.00,2091935.00,1951543.00,43689.00,56.09,1007.20,43509.00,445161.00,58065.00,477419.00,6758065.00,8235484.00,FALSE,0.00,0.00,32565609.45,72049.77,521601.12,19258.04,30395304.83,4719133.13,15341829.00
06/01/2011,31.00,26.85,2775833.00,2756667.00,43.00,3341667.00,3416667.00,3531667.00,20.00,2028333.00,21.35,1981667.00,43513.00,56.09,1008.20,85.10,2.63,1.42,6366667.00,8236667.00,8863333.00,TRUE,100.00,120.00,32552819.28,72131.63,521602.12,19235.13,30395304.83,4722988.69,15341829.00
07/01/2011,29.00,2712097.00,2817742.00,2745161.00,39.00,3329032.00,3464516.00,3496774.00,21.00,2095161.00,2170968.00,1993548.00,13.00,56.09,1009.90,79.10,254839.00,58065.00,203226.00,8296774.00,9054839.00,TRUE,93.33,110.00,32530907.09,72202.55,521603.12,19212.21,30395304.83,4726844.25,15637151.00
08/01/2011,31.00,2812903.00,2927419.00,2826613.00,41.00,3469355.00,3641935.00,3680645.00,21.00,2156452.00,2212903.00,1972581.00,43478.00,56.09,1008.70,43737.00,1496774.00,248718.00,276129.00,8087097.00,8854839.00,TRUE,111.25,135.63,32491736.51,71958.54,521604.12,19189.30,30395304.83,4730699.80,15637151.00
09/01/2011,30.00,2729167.00,2790833.00,43734.00,41.00,3363333.00,3418333.00,3528333.00,18.00,20.95,2163333.00,1851667.00,43506.00,56.09,1011.10,36.80,746667.00,2046667.00,43528.00,43472.00,8.52,TRUE,153.33,185.83,32432726.38,71897.18,521605.12,19166.39,30395304.83,4734555.36,15637151.00
10/01/2011,24.00,2327419.00,2333871.00,2218548.00,35.00,2932258.00,2985484.00,2993548.00,9.00,1722581.00,1682258.00,1443548.00,43718.00,56.09,1013.90,55.90,133871.00,845161.00,1170968.00,6209677.00,7119355.00,TRUE,181.67,223.33,32428843.73,71555.87,521606.12,19143.48,30395304.83,4738410.91,15748476.00
11/01/2011,21.00,21125.00,2164167.00,43665.00,35.00,2721667.00,2783333.00,2828333.00,5.00,1503333.00,15.45,1111667.00,43567.00,44.30,1016.20,43591.00,384286.00,173333.00,403333.00,5473333.00,43713.00,TRUE,100.00,120.00,32413065.42,70600.43,521607.12,19120.56,30395304.83,4742266.47,15748476.00
12/01/2011,14.00,1746935.00,1791935.00,1691935.00,30.00,2337097.00,2372581.00,2343548.00,3.00,1156774.00,1.12,1040323.00,43565.00,56.09,1019.50,43489.00,645161.00,623243.00,596774.00,3867742.00,3751613.00,FALSE,0.00,0.00,32434857.58,69719.53,521608.12,19097.65,30395304.83,4746122.03,15748476.00
01/01/2012,18.00,2082258.00,2087097.00,1982258.00,34.00,2704839.00,2667742.00,2764516.00,3.00,1459677.00,1506452.00,12.00,43566.00,46.50,1018.50,43712.00,412903.00,375187.00,43497.00,4406452.00,4280645.00,FALSE,0.00,0.00,32451287.65,69248.47,521609.12,19074.74,30395304.83,4749977.58,15836824.00
02/01/2012,17.00,2123276.00,43606.00,2084483.00,36.00,2698276.00,2705172.00,2803448.00,4.00,1548276.00,1594828.00,1365517.00,43627.00,79.50,1016.80,71.00,827586.00,1414855.00,551724.00,4437931.00,4637931.00,FALSE,0.00,0.00,32466132.69,68637.44,521610.12,19051.83,30395304.83,4753833.14,15836824.00
03/01/2012,23.00,2443548.00,2522581.00,2383871.00,39.00,3058065.00,3143548.00,3133871.00,6.00,1829032.00,1901613.00,1633871.00,43568.00,56.09,1012.40,24.00,410599.00,348718.00,422581.00,6374194.00,6990323.00,FALSE,0.00,0.00,32529774.67,69836.32,521611.12,19028.92,30395304.83,4757688.70,15836824.00
04/01/2012,27.00,2531667.00,26325.00,2555833.00,39.00,3171667.00,32.95,3381667.00,13.00,1891667.00,43665.00,43541.00,43569.00,48.20,1010.00,43578.00,1496667.00,403675.00,1143333.00,6943333.00,43473.00,FALSE,0.00,0.00,32532464.10,70092.42,521612.12,19006.00,30395304.83,4761544.25,15978040.00
05/01/2012,28.00,2641129.00,2733065.00,2654839.00,45.00,3277419.00,338871.00,3424194.00,19.00,2004839.00,2077419.00,1885484.00,43659.00,56.09,1009.20,48.50,333641.00,796774.00,1390323.00,7712903.00,8832258.00,TRUE,92.50,117.50,32544421.14,69390.89,521613.12,18983.09,30395304.83,4765399.81,15978040.00
06/01/2012,30.00,2718333.00,43674.00,2728333.00,42.00,3346667.00,35.10,35.10,19.00,43728.00,43546.00,1946667.00,43659.00,56.09,1008.10,59.40,2203333.00,3593333.00,1993333.00,7466667.00,9.28,TRUE,107.50,130.00,32515094.93,68475.91,521614.12,18960.18,30395304.83,4769255.36,15978040.00
07/01/2012,29.00,2771774.00,2883871.00,2729032.00,40.00,3380645.00,3503226.00,3495161.00,20.00,2162903.00,2264516.00,1962903.00,43630.00,56.09,1011.40,43521.00,2590323.00,3587097.00,1341935.00,8041935.00,43625.00,FALSE,0.00,0.00,32471001.22,67549.79,521615.12,18937.27,30395304.83,4773110.92,16078211.00
08/01/2012,30.00,2683065.00,43613.00,2732258.00,40.00,3272581.00,3453226.00,3441935.00,19.00,2093548.00,2246774.00,2022581.00,43659.00,56.09,1009.80,83.30,6056222.00,2219355.00,5529032.00,6596774.00,8709677.00,TRUE,128.00,156.50,32365245.54,67366.24,521616.12,18914.35,30395304.83,4776966.48,16078211.00
09/01/2012,28.00,25.00,25825.00,2419167.00,39.00,30.25,3113333.00,2983333.00,18.00,19.75,2051667.00,18.55,43688.00,56.09,1012.50,105.40,3490476.00,1793675.00,6.83,5536699.00,6603333.00,TRUE,150.00,182.50,32242081.91,67845.34,521617.12,18891.44,30395304.83,4780822.03,16078211.00
10/01/2012,25.00,2393548.00,2506452.00,2295968.00,39.00,2987097.00,3067742.00,2908065.00,10.00,18.00,1945161.00,1683871.00,43718.00,56.09,1012.80,41.60,209677.00,129694.00,2235484.00,5570968.00,6287097.00,TRUE,115.00,140.00,32183369.13,68411.71,521618.12,18868.53,30395304.83,4784677.59,16213437.00
11/01/2012,20.00,1985833.00,2050833.00,19325.00,34.00,43701.00,2498333.00,43609.00,11.00,1491667.00,1603333.00,43630.00,43532.00,56.09,1018.80,73.60,1827143.00,43771.00,3146667.00,3266667.00,4303333.00,TRUE,0.00,0.00,32130464.78,68241.90,521619.12,18845.62,30395304.83,4788533.14,16213437.00
12/01/2012,18.00,1905645.00,1881452.00,1765323.00,34.00,2516129.00,2445161.00,2508065.00,2.00,1295161.00,1317742.00,1022581.00,9.00,56.09,1015.60,43467.00,378802.00,780645.00,454839.00,4451613.00,4819355.00,FALSE,0.00,0.00,32129333.09,68446.64,521620.12,18822.70,30395304.83,4792388.70,16213437.00
01/01/2013,16.00,1966129.00,2012097.00,1839516.00,35.00,2564516.00,2598387.00,2606452.00,4.00,1367742.00,1425806.00,1072581.00,43687.00,64.80,1019.10,28.00,1651613.00,290323.00,1080645.00,4732258.00,4890323.00,FALSE,0.00,0.00,32101601.10,69243.78,521621.12,18799.79,30395304.83,4796244.26,16269241.00
02/01/2013,20.00,20625.00,2116071.00,2026786.00,36.00,2660714.00,2696429.00,2796429.00,8.00,1464286.00,1535714.00,1257143.00,43567.00,64.80,1013.40,43587.00,2557143.00,342857.00,621429.00,5521429.00,6357143.00,FALSE,0.00,0.00,27433728.00,36737.00,521622.12,18776.88,30395304.83,4800099.81,16269241.00
03/01/2013,22.00,2171774.00,2248387.00,2115323.00,38.00,2804839.00,2879032.00,2862903.00,7.00,153871.00,1617742.00,1367742.00,43720.00,70.20,1014.90,43591.00,549309.00,119686.00,1480645.00,5854839.00,6451613.00,FALSE,0.00,0.00,31224787.00,40604.00,521623.12,18753.97,30395304.83,4803955.37,16269241.00
04/01/2013,24.00,2318333.00,43700.00,43638.00,41.00,2981667.00,3021667.00,3008333.00,11.00,16.55,1738333.00,1511667.00,43720.00,74.10,1009.80,43523.00,55381.00,960342.00,43497.00,6.19,6693333.00,FALSE,0.00,0.00,30563222.00,40116.00,521624.12,18731.06,30395304.83,4807810.93,16158410.00
05/01/2013,26.00,2566935.00,2700806.00,2502419.00,41.00,318871.00,3309677.00,3193548.00,9.00,1945161.00,2091935.00,181129.00,13.00,64.80,1010.60,76.00,3558065.00,2819355.00,253871.00,7119355.00,8006452.00,FALSE,0.00,0.00,31859568.00,43857.00,521625.12,18708.14,30395304.83,4811666.48,16158410.00
06/01/2013,30.00,2648333.00,2775833.00,2708333.00,41.00,3213333.00,3368333.00,3418333.00,19.00,2083333.00,2183333.00,1998333.00,43479.00,55.40,1009.40,47.50,2066667.00,1793333.00,3596667.00,8.88,9.53,TRUE,85.00,102.50,32553274.00,43317.00,521626.12,18685.23,30395304.83,4815522.04,16158410.00
07/01/2013,29.00,2577419.00,2765323.00,2612903.00,39.00,3145161.00,3353226.00,3264516.00,21.00,2009677.00,2177419.00,196129.00,13.00,56.09,1011.30,72.10,1910599.00,1880976.00,2951613.00,7564516.00,843871.00,TRUE,97.50,115.00,32791651.00,66640.00,521627.12,18662.32,30395304.83,4819377.59,16313380.00
08/01/2013,30.00,2557258.00,2710484.00,2568548.00,40.00,3175806.00,3306452.00,326129.00,21.00,193871.00,2114516.00,1875806.00,43477.00,56.09,1011.70,51.30,700461.00,1375518.00,4680645.00,6235484.00,7070968.00,TRUE,81.67,98.33,34299590.00,65467.00,521628.12,18639.41,30395304.83,4823233.15,16313380.00
09/01/2013,26.00,2426667.00,25675.00,2425833.00,35.00,2933333.00,3058333.00,2971667.00,16.00,43515.00,2076667.00,43695.00,43626.00,56.09,1010.60,291.30,1202381.00,7483675.00,1624333.00,4993333.00,5.67,TRUE,103.00,123.00,30531168.00,111840.00,521629.12,18616.49,30395304.83,4827088.71,16313380.00
10/01/2013,22.86,2289516.00,2352419.00,2258871.00,36.23,2754839.00,2809677.00,2783871.00,11.04,1824194.00,1895161.00,1733871.00,37590.28,56.09,997.82,43675.00,1400922.00,1961621.00,2087097.00,4622581.00,5296774.00,TRUE,90.00,106.67,31238179.00,145634.00,521630.12,18593.58,30395304.83,4830944.26,16402273.00
11/01/2013,17.00,1740833.00,1863333.00,1774167.00,32.00,2206667.00,2318333.00,2301667.00,3.00,12.75,1408333.00,1246667.00,43655.00,0.00,1021.10,50.00,1827143.00,2454018.00,3976667.00,2953333.00,3536667.00,TRUE,100.00,120.00,29802816.00,96002.00,521631.12,18570.67,30395304.83,4834799.82,16402273.00
12/01/2013,13.00,1644355.00,1700806.00,1652419.00,32.00,2104839.00,2174194.00,2206452.00,3.00,1183871.00,1227419.00,1098387.00,43717.00,56.09,1022.40,74.50,6381106.00,5645492.00,5374194.00,3212903.00,3796774.00,TRUE,100.00,120.00,30287347.00,145688.00,521632.12,18547.76,30395304.83,4838655.37,16402273.00
01/01/2014,14.00,1697581.00,1803226.00,1748352.00,32.00,2345161.00,2480645.00,2579032.00,1.00,43595.00,1125806.00,9176719.00,43566.00,56.09,1021.90,7.00,2232719.00,284202.00,2906823.00,4532258.00,4283871.00,FALSE,0.00,0.00,31880995.00,97454.00,521633.12,18524.84,30395304.83,4842510.93,16508912.00
02/01/2014,17.00,2050893.00,2124107.00,2051786.00,35.00,2642857.00,27625.00,2782143.00,1.00,1458929.00,1485714.00,1321429.00,43688.00,64.80,1017.10,43473.00,492857.00,1832143.00,2.35,4403571.00,4575.00,FALSE,0.00,0.00,28089331.00,83376.00,521634.12,18501.93,30395304.83,4846366.49,16508912.00
03/01/2014,19.00,1982258.00,2064516.00,2005645.00,35.00,2501613.00,2633871.00,263871.00,3.00,1462903.00,1495161.00,1372581.00,43721.00,64.80,1016.80,43732.00,4223042.00,3736808.00,306129.00,3751613.00,4354839.00,FALSE,0.00,0.00,31444416.00,43289.00,521635.12,18479.02,30395304.83,4850222.04,16508912.00
04/01/2014,24.00,22225.00,23675.00,22375.00,40.00,2778333.00,2946667.00,2903333.00,8.00,1666667.00,1788333.00,1571667.00,43721.00,51.80,1014.10,43508.00,0.27,477351.00,726667.00,5146667.00,5786667.00,FALSE,0.00,0.00,31661366.00,58301.00,521636.12,18456.11,30395304.83,4854077.60,16718643.00
05/01/2014,26.00,2366935.00,2492742.00,2395484.00,38.00,2908065.00,3101613.00,3053871.00,11.00,1825806.00,1883871.00,1737097.00,43691.00,56.09,1015.30,71.10,2200461.00,748718.00,967742.00,6232258.00,6458065.00,FALSE,0.00,0.00,33396970.00,66729.00,521637.12,18433.19,30395304.83,4857933.15,16718643.00
06/01/2014,29.00,25.15,27.35,2614167.00,40.00,3011667.00,3318333.00,3231667.00,21.00,2018333.00,2151667.00,1996667.00,15.00,56.09,1013.40,68.00,2451429.00,3557009.00,2373333.00,6.82,7.82,FALSE,0.00,0.00,33955200.00,67593.00,521638.12,18410.28,30395304.83,4861788.71,16718643.00
07/01/2014,29.00,2628226.00,2792742.00,2722581.00,40.00,3190323.00,3453226.00,3433871.00,21.00,2066129.00,2132258.00,201129.00,43600.00,55.40,1016.60,48.20,206129.00,1587759.00,1190323.00,7758065.00,8016129.00,TRUE,7.67,14.00,34998653.00,87575.00,521639.12,18387.37,30395304.83,4865644.27,16779940.00
08/01/2014,30.00,2674194.00,2817742.00,2741935.00,40.00,326129.00,3487097.00,3491935.00,22.00,2087097.00,2148387.00,1991935.00,43720.00,74.20,1015.40,55.40,972351.00,1645823.00,616129.00,7606452.00,7996774.00,TRUE,11.00,19.00,36150365.00,75763.00,521640.12,18364.46,30395304.83,4869499.82,16779940.00
09/01/2014,26.00,2325833.00,2516667.00,43639.00,35.00,2771667.00,3023333.00,28.35,11.00,43695.00,43485.00,18.85,43719.00,56.09,1016.20,221.40,4680953.00,4724018.00,1623667.00,4476667.00,4.97,TRUE,9.00,12.50,32669568.00,92717.00,521641.12,18341.55,30395304.83,4873355.38,16779940.00
10/01/2014,24.00,2304032.00,2391935.00,2257258.00,32.00,283871.00,2979032.00,2919355.00,14.00,1769355.00,1804839.00,1595161.00,43686.00,59.30,1016.50,69.30,4456222.00,3046155.00,9677419.00,4380645.00,4841935.00,TRUE,6.00,18.33,33375542.00,128882.00,521642.12,18318.63,30395304.83,4877210.94,16966131.00
